DATA;ORA;OPEN;HIGH;LOW;CLOSE;N
24/12/2004;00:00;1.3513;1.3551;1.3485;1.3522;0
27/12/2004;00:00;1.3528;1.364;1.3516;1.3613;0
28/12/2004;00:00;1.3615;1.3643;1.359;1.3611;0
29/12/2004;00:00;1.3611;1.3647;1.3558;1.3602;0
30/12/2004;00:00;1.3606;1.3667;1.3575;1.3631;0
31/12/2004;00:00;1.3632;1.3661;1.3513;1.3553;0
03/01/2005;00:00;1.3553;1.358;1.3386;1.3463;0
04/01/2005;00:00;1.3461;1.3495;1.325;1.3277;0
05/01/2005;00:00;1.3279;1.3302;1.3214;1.3257;0
06/01/2005;00:00;1.3259;1.3283;1.3156;1.317;0
07/01/2005;00:00;1.317;1.325;1.3026;1.3052;0
10/01/2005;00:00;1.3046;1.3123;1.3046;1.3077;0
11/01/2005;00:00;1.3072;1.317;1.3068;1.311;0
12/01/2005;00:00;1.31;1.3292;1.3084;1.3254;0
13/01/2005;00:00;1.3256;1.3266;1.3194;1.3214;0
14/01/2005;00:00;1.3221;1.3223;1.3056;1.3105;0
17/01/2005;00:00;1.3107;1.3127;1.3058;1.3058;0
18/01/2005;00:00;1.3066;1.3075;1.2995;1.3019;0
19/01/2005;00:00;1.3018;1.3118;1.2965;1.3004;0
20/01/2005;00:00;1.3007;1.3026;1.2923;1.2964;0
21/01/2005;00:00;1.296;1.3067;1.2934;1.3045;0
24/01/2005;00:00;1.3033;1.31;1.3011;1.3056;0
25/01/2005;00:00;1.3058;1.3075;1.2946;1.2968;0
26/01/2005;00:00;1.2975;1.3108;1.2967;1.3082;0
27/01/2005;00:00;1.3067;1.3124;1.3011;1.3041;0
28/01/2005;00:00;1.3042;1.308;1.2987;1.3043;0
31/01/2005;00:00;1.3033;1.3058;1.2976;1.303;0
01/02/2005;00:00;1.3035;1.3067;1.3001;1.3043;0
02/02/2005;00:00;1.304;1.3095;1.301;1.3021;0
03/02/2005;00:00;1.3026;1.3037;1.2941;1.297;0
04/02/2005;00:00;1.297;1.3043;1.2864;1.2864;0
07/02/2005;00:00;1.2859;1.2877;1.2733;1.2757;0
